SNID: 2017cbv
SURVEY: NULL
FILTERS: UBVgri
RA: 218.143417
DECL: -44.134094
REDSHIFT_FINAL: 0.004 +- 0.0010
PEAKMJD: 57840

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 57825.661 V 306478.4905 1411.3856 13.7840 0.0050
OBS: 57825.663 g 311028.3669 1145.8708 13.7680 0.0040
OBS: 57825.666 g 309314.3011 1139.5560 13.7740 0.0040
OBS: 57825.669 r 305914.4559 1408.7881 13.7860 0.0050
OBS: 57825.671 r 304508.9067 1402.3153 13.7910 0.0050
OBS: 57825.673 i 265950.0033 1224.7450 13.9380 0.0050
OBS: 57825.675 i 256330.3320 1180.4448 13.9780 0.0050
OBS: 57826.134 U 335737.6142 3401.4835 13.6850 0.0110
OBS: 57826.138 U 346417.6410 3509.6868 13.6510 0.0110
OBS: 57826.142 B 308460.8138 1988.7204 13.7770 0.0070
OBS: 57826.143 B 308745.0476 1990.5529 13.7760 0.0070
OBS: 57826.145 V 345780.1035 2229.3267 13.6530 0.0070
OBS: 57826.146 V 342609.9725 2524.4436 13.6630 0.0080
OBS: 57826.147 g 359749.3352 4970.1207 13.6100 0.0150
OBS: 57826.149 g 362743.8015 5345.5902 13.6010 0.0160
OBS: 57826.151 r 348016.6322 1923.2110 13.6460 0.0060
OBS: 57826.152 r 346417.6410 1595.3122 13.6510 0.0050
OBS: 57826.153 i 293764.9652 1893.9727 13.8300 0.0070
OBS: 57826.154 i 288137.6435 2123.0766 13.8510 0.0080
OBS: 57826.187 B 318859.9693 11747.2354 13.7410 0.0400
OBS: 57826.196 U 281060.6200 10872.3887 13.8780 0.0420
OBS: 57826.251 V 383354.0008 15535.6117 13.5410 0.0440
OBS: 57827.041 U 459621.1447 5079.9206 13.3440 0.0120
OBS: 57827.045 U 463020.2659 6823.3188 13.3360 0.0160
OBS: 57827.049 B 416869.3835 1919.7545 13.4500 0.0050
OBS: 57827.050 B 417637.9930 1923.2940 13.4480 0.0050
OBS: 57827.052 V 454988.0602 2514.3569 13.3550 0.0060
OBS: 57827.053 V 447507.1720 3297.3547 13.3730 0.0080
OBS: 57827.055 g 493400.9712 2272.1954 13.2670 0.0050
OBS: 57827.056 g 492492.9296 2721.6165 13.2690 0.0060
OBS: 57827.058 r 463446.9197 2987.9527 13.3350 0.0070
OBS: 57827.059 r 466444.5252 3007.2790 13.3280 0.0070
OBS: 57827.060 i 377398.3525 4518.7575 13.5580 0.0130
