SNID: 2018gv
RA: 121.394208
DECL: -11.437861
SURVEY: NULL
FILTERS: BVgri
REDSHIFT_FINAL: 0.0053 +- 0.0010
SEARCH_PEAKMJD: 58144

VARLIST:  MJD  FLT  FLUXCAL   FLUXCALERR    MAG     MAGERR
OBS: 58191.066830 r 150010.25680 304.14547 14.55970 0.00220
OBS: 58144.123920 i 407787.54330 698.10875 13.47392 0.00186
OBS: 58144.132800 V 616403.78025 1078.65562 13.02534 0.00190
OBS: 58144.122750 r 561233.63744 753.88977 13.12714 0.00146
OBS: 58144.125420 g 626566.71533 890.63937 13.00758 0.00154
OBS: 58144.134250 B 610848.47789 992.27728 13.03517 0.00176
OBS: 58176.121310 V 257697.55724 732.26873 13.97222 0.00308
OBS: 58176.118940 B 113450.75820 527.05284 14.86298 0.00504
OBS: 58176.130160 i 204299.84156 596.94892 14.22433 0.00317
OBS: 58176.131550 r 300751.68851 576.87713 13.80448 0.00208
OBS: 58176.128760 g 160449.45511 437.43302 14.48665 0.00296
OBS: 58171.106330 B 173316.44147 596.57658 14.40290 0.00373
OBS: 58171.115510 g 245252.91517 510.15805 14.02596 0.00226
OBS: 58171.117570 r 329245.46938 737.85290 13.70620 0.00243
OBS: 58171.116530 i 191874.55135 551.11657 14.29246 0.00312
OBS: 58171.108580 V 327562.35345 877.95924 13.71177 0.00291
OBS: 58204.033480 g 56797.18092 306.83847 15.61418 0.00586
OBS: 58204.038870 B 40952.95104 393.04856 15.96929 0.01041
OBS: 58204.032440 i 70971.67872 365.32702 15.37229 0.00559
OBS: 58204.036940 V 84793.13307 454.43436 15.17910 0.00581
OBS: 58204.031060 r 92324.72424 416.14464 15.08670 0.00489
OBS: 58147.331390 i 397044.64390 1056.52618 13.50290 0.00289
OBS: 58147.326440 B 658794.36814 1022.93279 12.95313 0.00168
OBS: 58147.324510 V 687966.66719 1589.40305 12.90608 0.00251
OBS: 58147.332640 g 710216.45041 1114.70461 12.87152 0.00170
OBS: 58147.329340 r 646983.90001 1276.09058 12.97277 0.00214
OBS: 58141.142960 B 402716.79576 772.90069 13.48750 0.00208
OBS: 58141.136010 g 419721.69160 686.25577 13.44260 0.00177
OBS: 58141.141920 V 401288.18301 974.30629 13.49136 0.00263
OBS: 58141.133650 r 385573.99605 687.09000 13.53473 0.00193
OBS: 58141.134810 i 290529.73531 614.01074 13.84202 0.00229
OBS: 58163.184000 B 350610.00418 807.62287 13.63794 0.00250
OBS: 58163.170820 r 372761.08552 7644.56350 13.57142 0.02225
OBS: 58163.173620 i 165851.88557 834.49087 14.45070 0.00546
OBS: 58163.182660 V 462421.08879 1251.44414 13.33741 0.00294
OBS: 58163.175270 g 428793.76877 789.41487 13.41938 0.00200
OBS: 58169.198760 V 361012.33359 853.60303 13.60619 0.00257
OBS: 58169.200150 B 207011.46511 640.21887 14.21001 0.00336
OBS: 58169.192730 g 286123.59178 575.13844 13.85862 0.00218
OBS: 58169.191740 i 177378.66173 513.59372 14.37775 0.00314
OBS: 58169.190730 r 335470.12735 667.45862 13.68587 0.00216
OBS: 58192.054980 B 47623.78020 234.11798 15.80544 0.00533
OBS: 58192.044400 g 71665.96456 223.88334 15.36172 0.00339
OBS: 58192.041170 r 147312.19490 331.17369 14.57940 0.00244
OBS: 58192.042870 i 121414.86269 337.97680 14.78932 0.00302
OBS: 58192.053300 V 118785.66741 386.61748 14.81309 0.00353
OBS: 58150.299330 B 693738.42057 1295.87666 12.89701 0.00203
OBS: 58185.144420 g 91726.29675 306.31637 15.09377 0.00362
OBS: 58185.143150 i 182316.52123 515.00438 14.34793 0.00306
OBS: 58185.141520 r 214755.25832 522.38758 14.17014 0.00264
OBS: 58185.151900 V 159141.57867 555.64485 14.49554 0.00379
OBS: 58185.153070 B 60011.94308 325.26267 15.55441 0.00588
